id,topic1_id,topic1_prob,topic2_id,topic2_prob,topic3_id,topic4_prob
2,4,0.453774094581604,5.0,0.2860337197780609,7.0,0.2500651776790619
4,4,0.7464181780815125,8.0,0.13024696707725525,7.0,0.08896313607692719
7,5,0.724457323551178,7.0,0.18070989847183228,4.0,0.09240544587373734
9,5,0.47146689891815186,4.0,0.2212163507938385,7.0,0.16862690448760986
13,5,0.473532110452652,7.0,0.3006589412689209,4.0,0.22088533639907837
14,4,0.6872832775115967,8.0,0.13960163295269012,7.0,0.11597925424575806
15,4,0.6039422154426575,8.0,0.15507696568965912,7.0,0.11410369724035263
24,4,0.7165889739990234,5.0,0.10192369669675827,7.0,0.0797024518251419
26,6,0.6558341979980469,5.0,0.2729187607765198,4.0,0.04264753311872482
30,5,0.5585397481918335,4.0,0.3081095814704895,7.0,0.08198527246713638
31,4,0.7890331149101257,0.0,0.1139901652932167,7.0,0.0601675920188427
33,5,0.5798577070236206,4.0,0.18135322630405426,7.0,0.17578594386577606
38,4,0.6857607960700989,5.0,0.1188713014125824,7.0,0.1000959500670433
41,4,0.6892915964126587,7.0,0.18051278591156006,5.0,0.07834848761558533
43,4,0.5654505491256714,5.0,0.32553616166114807,7.0,0.10198300331830978
44,5,0.5284132361412048,4.0,0.3096083998680115,7.0,0.07397887110710144
45,4,0.6494792103767395,0.0,0.1656268835067749,5.0,0.10843208432197571
46,4,0.4485611915588379,5.0,0.43566879630088806,9.0,0.04537506774067879
47,4,0.4229993224143982,2.0,0.2266925573348999,5.0,0.13163304328918457
48,5,0.8195793628692627,4.0,0.08453802764415741,1.0,0.0619538314640522
49,4,0.5687713027000427,8.0,0.2707417607307434,7.0,0.10151597112417221
50,4,0.36280035972595215,5.0,0.22259189188480377,9.0,0.1850920021533966
52,4,0.7429772019386292,7.0,0.17077329754829407,5.0,0.06607881188392639
60,5,0.39849650859832764,4.0,0.3336971700191498,7.0,0.22266685962677002
61,4,0.5348735451698303,7.0,0.3219177722930908,5.0,0.0860227644443512
63,4,0.506898820400238,7.0,0.25242891907691956,5.0,0.14834962785243988
64,4,0.6927935481071472,7.0,0.25850436091423035,5.0,0.025841455906629562
65,6,0.5660161972045898,5.0,0.41039249300956726,7.0,0.010808193124830723
67,6,0.7372620701789856,4.0,0.1666249781847,5.0,0.03442852944135666
71,0,0.233656644821167,6.0,0.22844049334526062,4.0,0.20420090854167938
72,6,0.8411381840705872,4.0,0.14954672753810883,,
75,4,0.5824607610702515,7.0,0.23680368065834045,5.0,0.13585565984249115
76,6,0.7144284844398499,4.0,0.20592598617076874,0.0,0.030940812081098557
78,7,0.4794963598251343,4.0,0.4510175883769989,5.0,0.06071658059954643
80,4,0.8276107311248779,5.0,0.09130369871854782,7.0,0.07270877808332443
83,6,0.782299816608429,4.0,0.11710114032030106,9.0,0.04461329057812691
84,6,0.7144248485565186,4.0,0.20592349767684937,0.0,0.0309598408639431
85,4,0.6292374134063721,7.0,0.2085864394903183,5.0,0.09889332205057144
88,4,0.44449877738952637,5.0,0.3681866228580475,7.0,0.1524193435907364
89,4,0.532844603061676,7.0,0.2778473496437073,9.0,0.07719205319881439
93,6,0.7960845232009888,4.0,0.1753605306148529,7.0,0.020561382174491882
94,4,0.5996548533439636,7.0,0.3582201600074768,5.0,0.036100585013628006
96,7,0.3159653842449188,5.0,0.31488776206970215,4.0,0.2740268409252167
97,6,0.7063129544258118,5.0,0.22006240487098694,4.0,0.05645083636045456
98,4,0.41091954708099365,7.0,0.2833494246006012,9.0,0.1486186981201172
99,5,0.2942624092102051,6.0,0.2705996632575989,4.0,0.25254979729652405
101,6,0.7144228219985962,4.0,0.2059110850095749,0.0,0.030993368476629257
103,5,0.6540321111679077,4.0,0.20830519497394562,7.0,0.09435506910085678
104,6,0.8156863451004028,5.0,0.1262604296207428,4.0,0.044603992253541946
105,4,0.39673349261283875,5.0,0.29040607810020447,7.0,0.28670623898506165
107,4,0.5073056817054749,5.0,0.30930447578430176,7.0,0.1438141167163849
108,4,0.7001701593399048,7.0,0.20717623829841614,5.0,0.056035395711660385
109,4,0.7333999276161194,5.0,0.13490436971187592,7.0,0.08281534165143967
110,5,0.43321892619132996,4.0,0.3452780246734619,0.0,0.06603070348501205
111,5,0.606865406036377,4.0,0.20179499685764313,7.0,0.17459122836589813
112,4,0.6360909938812256,7.0,0.17852316796779633,6.0,0.09297987818717957
113,6,0.8238990306854248,2.0,0.13483422994613647,4.0,0.027658231556415558
117,4,0.7121421098709106,5.0,0.09643394500017166,1.0,0.08441980183124542
119,5,0.4828936755657196,4.0,0.39614731073379517,7.0,0.06380025297403336
121,4,0.5341598987579346,2.0,0.2135603427886963,5.0,0.09322695434093475
122,4,0.512332558631897,5.0,0.1787421703338623,7.0,0.10076384246349335
123,4,0.4974249601364136,3.0,0.18446475267410278,7.0,0.18031959235668182
125,4,0.5995944738388062,5.0,0.2810426950454712,7.0,0.053578972816467285
126,4,0.5054754614830017,5.0,0.29416152834892273,7.0,0.15651746094226837
