id,topic1_id,topic1_prob,topic2_id,topic2_prob,topic3_id,topic4_prob
2,1,0.4553643763065338,7,0.2703087031841278,5,0.1571437269449234
4,7,0.5129032731056213,9,0.17245250940322876,10,0.15560083091259003
7,5,0.5836862325668335,1,0.30385446548461914,8,0.09178865700960159
9,5,0.37796834111213684,1,0.30658283829689026,6,0.1099291667342186
13,1,0.4843611717224121,5,0.2907610833644867,8,0.1721968948841095
14,7,0.39271488785743713,1,0.232863187789917,10,0.1641620397567749
15,7,0.3222945034503937,1,0.23733732104301453,9,0.23578070104122162
24,7,0.6049286723136902,1,0.19490168988704681,8,0.1034172773361206
26,4,0.4420027434825897,8,0.2633340656757355,5,0.1348763406276703
30,5,0.35492265224456787,1,0.28917959332466125,8,0.1722758412361145
31,7,0.7444722652435303,1,0.15238048136234283,10,0.04616314545273781
33,1,0.40220969915390015,5,0.3824530243873596,8,0.191062331199646
38,7,0.39573076367378235,10,0.3349498510360718,1,0.13774794340133667
41,7,0.5970723628997803,1,0.2738741338253021,5,0.1187473013997078
43,1,0.4444170594215393,5,0.26338934898376465,7,0.18558351695537567
44,5,0.5140700936317444,7,0.20855891704559326,1,0.15864118933677673
45,7,0.5287798047065735,1,0.27029842138290405,10,0.08836441487073898
46,7,0.30619505047798157,5,0.2751961946487427,1,0.16140080988407135
47,7,0.32818228006362915,4,0.2846793830394745,1,0.1503668874502182
48,5,0.731014609336853,10,0.11467644572257996,7,0.06156088784337044
49,9,0.31714102625846863,7,0.2921125888824463,10,0.18021628260612488
50,8,0.30881616473197937,7,0.281247615814209,6,0.13136322796344757
52,7,0.46301743388175964,1,0.24512262642383575,10,0.20584788918495178
60,1,0.4857061505317688,8,0.2499231994152069,5,0.18917179107666016
61,7,0.45388150215148926,1,0.43530750274658203,8,0.040210217237472534
63,1,0.38740330934524536,7,0.332785964012146,8,0.09564489871263504
64,1,0.5122760534286499,7,0.4668327867984772,0,
65,4,0.5146600604057312,5,0.4652511179447174,8,0.013248338364064693
67,4,0.7016379833221436,7,0.09843456000089645,1,0.06619144976139069
71,8,0.31533628702163696,6,0.22074128687381744,7,0.18053454160690308
72,4,0.6392155885696411,8,0.11108638346195221,6,0.09386750310659409
75,7,0.5054028630256653,1,0.3554858863353729,5,0.09900178760290146
76,4,0.6139928698539734,7,0.17664921283721924,6,0.11353051662445068
78,1,0.8095059990882874,7,0.10205092281103134,5,0.05062117055058479
80,7,0.4880017638206482,10,0.2441662847995758,1,0.1900722086429596
83,4,0.7493937611579895,6,0.08650597184896469,7,0.06693156063556671
84,4,0.6139889359474182,7,0.17665323615074158,6,0.11353076249361038
85,7,0.3878978192806244,1,0.3697945475578308,5,0.08635728806257248
88,7,0.355983167886734,1,0.2581885755062103,5,0.22569723427295685
89,1,0.48399317264556885,7,0.22783015668392181,10,0.17013747990131378
93,4,0.757569432258606,7,0.10654083639383316,6,0.056710731238126755
94,1,0.4695488214492798,7,0.4453798234462738,5,0.04367965832352638
96,1,0.5617191195487976,5,0.2843571901321411,8,0.09094568341970444
97,4,0.6227245926856995,8,0.19577759504318237,6,0.06335296481847763
98,1,0.5674024820327759,7,0.298103392124176,5,0.06063229963183403
99,6,0.4128991365432739,9,0.15832005441188812,7,0.11659599840641022
101,4,0.6139890551567078,7,0.17665307223796844,6,0.11353086680173874
103,5,0.5442989468574524,1,0.2020949125289917,7,0.11195545643568039
104,6,0.5823900103569031,4,0.3048979938030243,8,0.07919446378946304
105,1,0.631832480430603,7,0.14987999200820923,5,0.1130317896604538
107,7,0.5106393694877625,1,0.20110809803009033,5,0.14674530923366547
108,7,0.543306291103363,1,0.2894271910190582,5,0.08499950915575027
109,7,0.3612208068370819,10,0.25412240624427795,1,0.1533091515302658
110,7,0.25108790397644043,6,0.23134836554527283,5,0.18129098415374756
111,5,0.5545855164527893,1,0.3008142411708832,7,0.07009854912757874
112,7,0.44112226366996765,1,0.37430232763290405,8,0.10440046340227127
113,4,0.9484134912490845,7,0.0351712703704834,0,
117,7,0.5687811970710754,1,0.19757239520549774,8,0.08372114598751068
119,5,0.2726801931858063,7,0.26051250100135803,6,0.14522208273410797
121,7,0.3873908519744873,4,0.26099687814712524,10,0.15031518042087555
122,7,0.3086438775062561,10,0.1957000344991684,1,0.18852734565734863
123,7,0.39322635531425476,1,0.30733951926231384,2,0.1847311407327652
125,7,0.4563947021961212,8,0.23902109265327454,1,0.10838261246681213
126,1,0.46267953515052795,7,0.2707514762878418,5,0.16219091415405273
127,7,0.28538694977760315,1,0.24327540397644043,6,0.23834948241710663
128,1,0.3428177535533905,7,0.26638031005859375,8,0.19909778237342834
130,7,0.6702483892440796,1,0.2307204306125641,10,0.06484995037317276
131,7,0.5370146632194519,1,0.2982238829135895,10,0.08325960487127304
135,1,0.7427988648414612,5,0.12350783497095108,8,0.11274447292089462
136,7,0.3380676507949829,1,0.23002944886684418,5,0.1495162695646286
137,1,0.5125755667686462,5,0.19772401452064514,7,0.14547845721244812
138,1,0.3845372498035431,7,0.37821513414382935,5,0.1279938817024231
139,1,0.6178880929946899,7,0.22242344915866852,5,0.08018322288990021
140,5,0.5932304859161377,1,0.15289373695850372,8,0.09345867484807968
141,7,0.46208426356315613,1,0.3905695974826813,5,0.08460209518671036
142,5,0.36293622851371765,1,0.34465327858924866,7,0.20497854053974152
