category,years_on_force,number_since_same_type,number_since_total,number_same_type_after
Use Of Force,2,0,3,0
Operation/Personnel Violations,2,0,2,1
Operation/Personnel Violations,0,0,0,0
Operation/Personnel Violations,4,0,8,0
Operation/Personnel Violations,4,0,6,0
Operation/Personnel Violations,5,0,2,0
Use Of Force,4,0,0,0
Use Of Force,2,0,2,0
Operation/Personnel Violations,2,0,0,0
Illegal Search,4,1,6,2
Illegal Search,5,1,9,0
Operation/Personnel Violations,1,0,2,1
Operation/Personnel Violations,1,0,1,5
Operation/Personnel Violations,4,0,6,2
Traffic,3,0,1,0
Use Of Force,4,2,3,1
Use Of Force,6,1,5,0
Use Of Force,3,0,3,2
Use Of Force,1,0,2,9
False Arrest,4,1,5,5
False Arrest,4,0,0,0
Operation/Personnel Violations,4,0,2,2
Operation/Personnel Violations,1,0,2,2
Operation/Personnel Violations,1,0,1,3
Lockup Procedures,5,0,11,0
Operation/Personnel Violations,2,0,2,0
Operation/Personnel Violations,1,0,0,0
Conduct Unbecoming (Off-Duty),5,0,3,0
Domestic,2,0,0,1
Operation/Personnel Violations,3,0,2,0
Operation/Personnel Violations,5,0,4,1
Operation/Personnel Violations,6,3,25,4
Operation/Personnel Violations,3,3,11,0
Use Of Force,4,1,6,0
Operation/Personnel Violations,4,0,1,0
Use Of Force,3,0,4,2
Supervisory Responsibilities,4,0,2,0
Supervisory Responsibilities,5,1,32,0
Operation/Personnel Violations,4,0,2,0
Operation/Personnel Violations,5,0,5,0
Operation/Personnel Violations,2,0,2,0
Operation/Personnel Violations,0,0,0,0
Use Of Force,4,0,6,0
Verbal Abuse,3,0,5,0
Operation/Personnel Violations,1,0,0,0
Operation/Personnel Violations,1,0,0,0
Operation/Personnel Violations,1,0,0,0
Operation/Personnel Violations,1,0,0,2
Domestic,5,0,8,0
Lockup Procedures,5,0,4,1
Operation/Personnel Violations,4,3,10,4
Operation/Personnel Violations,1,0,0,1
Use Of Force,3,2,11,5
Illegal Search,6,0,3,1
Illegal Search,3,0,3,2
Illegal Search,3,0,0,0
Illegal Search,2,0,1,0
Use Of Force,5,2,9,1
Use Of Force,3,0,6,3
Use Of Force,5,1,7,3
Use Of Force,5,0,0,0
Use Of Force,6,3,8,0
Illegal Search,3,0,3,0
Operation/Personnel Violations,4,1,16,1
Illegal Search,4,0,17,2
Traffic,4,0,7,0
Operation/Personnel Violations,5,0,4,0
Operation/Personnel Violations,1,0,0,1
Use Of Force,3,0,3,0
Use Of Force,2,2,9,1
Use Of Force,2,0,0,0
Operation/Personnel Violations,4,0,4,0
Operation/Personnel Violations,5,0,6,1
Operation/Personnel Violations,2,0,1,0
Illegal Search,3,0,5,8
Lockup Procedures,6,0,10,0
Use Of Force,4,2,18,4
Illegal Search,4,0,7,0
Illegal Search,3,0,3,2
Operation/Personnel Violations,5,1,18,0
Use Of Force,4,0,5,0
Operation/Personnel Violations,3,0,5,0
Operation/Personnel Violations,4,0,7,0
Use Of Force,3,2,5,0
Domestic,6,1,12,1
Lockup Procedures,5,0,12,0
Domestic,6,0,5,0
Lockup Procedures,5,1,33,0
Illegal Search,1,0,3,4
Operation/Personnel Violations,4,0,3,0
Lockup Procedures,3,0,4,0
Lockup Procedures,3,0,5,0
False Arrest,4,1,4,1
False Arrest,3,0,1,0
False Arrest,3,0,3,0
Use Of Force,4,3,9,3
Domestic,4,0,12,0
Lockup Procedures,5,0,13,0
Lockup Procedures,4,0,7,0
Operation/Personnel Violations,3,0,1,0
Illegal Search,3,0,7,0
Illegal Search,6,0,7,1
Illegal Search,1,0,0,0
Use Of Force,1,0,1,3
Lockup Procedures,5,0,5,0
Lockup Procedures,1,0,0,0
Use Of Force,5,2,15,2
Domestic,6,1,15,0
Operation/Personnel Violations,5,0,7,0
Illegal Search,5,2,13,1
False Arrest,1,0,1,1
Operation/Personnel Violations,4,0,3,0
Illegal Search,4,0,1,0
Illegal Search,5,0,7,0
Illegal Search,5,0,4,1
Illegal Search,3,1,2,1
Operation/Personnel Violations,5,0,12,0
Lockup Procedures,4,0,8,0
Lockup Procedures,5,0,11,0
Lockup Procedures,5,0,9,0
Operation/Personnel Violations,2,0,1,0
Operation/Personnel Violations,5,0,6,4
Use Of Force,6,0,7,1
Use Of Force,2,0,0,0
Use Of Force,2,0,0,3
Illegal Search,5,0,2,1
Conduct Unbecoming (Off-Duty),2,0,4,1
Illegal Search,3,0,3,1
Illegal Search,5,1,14,2
Illegal Search,5,1,8,1
Operation/Personnel Violations,3,0,1,0
Illegal Search,4,0,1,4
Illegal Search,5,4,7,2
Operation/Personnel Violations,5,4,7,8
Operation/Personnel Violations,1,0,0,5
Operation/Personnel Violations,5,0,1,0
Use Of Force,3,0,7,0
Use Of Force,6,0,10,0
Use Of Force,3,0,2,0
Supervisory Responsibilities,3,0,4,0
Use Of Force,5,0,2,0
Use Of Force,3,0,2,4
Traffic,5,0,19,0
Lockup Procedures,4,1,9,5
Lockup Procedures,5,0,12,0
Operation/Personnel Violations,3,0,4,0
Illegal Search,4,1,9,5
Operation/Personnel Violations,5,0,2,0
Illegal Search,5,1,13,1
Use Of Force,3,0,12,0
Illegal Search,5,1,9,2
Illegal Search,0,0,3,0
Lockup Procedures,3,0,6,3
Domestic,4,0,7,2
Operation/Personnel Violations,0,0,0,2
Use Of Force,3,0,6,0
Use Of Force,3,0,1,4
Use Of Force,3,1,3,0
Illegal Search,2,0,2,3
Use Of Force,4,0,4,2
Illegal Search,4,0,5,1
Lockup Procedures,5,0,11,2
Operation/Personnel Violations,4,0,1,0
Operation/Personnel Violations,4,0,2,0
Operation/Personnel Violations,3,0,6,1
Operation/Personnel Violations,2,0,7,0
Illegal Search,4,0,5,1
Operation/Personnel Violations,3,0,7,1
Use Of Force,6,0,3,0
Use Of Force,6,1,10,0
Operation/Personnel Violations,0,0,0,3
Lockup Procedures,4,0,5,0
Operation/Personnel Violations,2,0,2,0
Operation/Personnel Violations,1,1,2,0
Operation/Personnel Violations,3,0,3,0
Use Of Force,5,0,15,0
Operation/Personnel Violations,1,0,1,0
Operation/Personnel Violations,0,0,0,3
Operation/Personnel Violations,4,2,15,1
Operation/Personnel Violations,3,0,8,1
Use Of Force,3,0,3,0
Operation/Personnel Violations,4,0,4,0
Use Of Force,3,1,3,2
Use Of Force,3,1,4,4
Use Of Force,2,2,5,2
Use Of Force,1,0,0,10
Domestic,1,0,0,1
Illegal Search,5,0,7,2
Illegal Search,4,0,7,3
Illegal Search,3,0,4,4
Illegal Search,3,0,7,3
Lockup Procedures,1,0,1,2
Illegal Search,2,0,0,1
Lockup Procedures,4,1,3,0
Lockup Procedures,5,0,1,0
Operation/Personnel Violations,5,0,3,0
Use Of Force,4,0,10,1
Operation/Personnel Violations,4,0,4,2
Operation/Personnel Violations,2,0,1,1
Use Of Force,2,0,1,1
Operation/Personnel Violations,4,0,0,0
False Arrest,4,0,2,1
False Arrest,1,0,0,0
Operation/Personnel Violations,2,0,0,0
Operation/Personnel Violations,1,0,0,0
Conduct Unbecoming (Off-Duty),2,0,2,0
Use Of Force,1,0,1,1
Operation/Personnel Violations,4,0,2,0
Operation/Personnel Violations,1,0,0,0
False Arrest,5,0,13,0
Operation/Personnel Violations,5,0,3,0
Operation/Personnel Violations,1,0,0,0
Operation/Personnel Violations,4,0,1,0
Operation/Personnel Violations,5,1,5,0
Operation/Personnel Violations,5,0,2,0
Operation/Personnel Violations,5,0,10,1
Illegal Search,2,1,1,0
Operation/Personnel Violations,0,0,0,1
Illegal Search,5,2,13,1
Use Of Force,2,0,2,0
Use Of Force,4,0,10,1
Domestic,4,0,4,0
False Arrest,6,0,4,1
False Arrest,2,0,2,0
Illegal Search,5,1,8,10
Illegal Search,4,1,6,2
Illegal Search,5,3,8,2
Illegal Search,5,2,11,4
Domestic,6,0,8,1
Use Of Force,6,2,11,1
Illegal Search,3,0,3,2
Illegal Search,3,0,1,1
Illegal Search,5,1,5,0
Illegal Search,3,0,4,3
Illegal Search,3,0,6,1
Operation/Personnel Violations,2,1,1,3
Operation/Personnel Violations,0,0,0,0
Operation/Personnel Violations,4,0,5,1
Operation/Personnel Violations,2,0,0,0
Use Of Force,5,1,3,1
Operation/Personnel Violations,0,0,0,0
Use Of Force,2,0,4,9
Domestic,3,0,0,0
Use Of Force,2,0,2,0
Use Of Force,2,1,3,1
Use Of Force,2,0,0,0
Use Of Force,2,0,1,0
Illegal Search,4,0,11,0
Operation/Personnel Violations,5,0,10,0
Use Of Force,6,0,2,1
Use Of Force,3,0,1,1
Use Of Force,2,0,1,0
Operation/Personnel Violations,1,0,0,3
Verbal Abuse,5,0,6,0
Use Of Force,4,0,3,0
Operation/Personnel Violations,2,1,1,0
Operation/Personnel Violations,5,1,8,1
False Arrest,3,0,4,0
Use Of Force,3,0,7,0
Supervisory Responsibilities,4,0,3,0
Supervisory Responsibilities,1,0,0,0
Use Of Force,4,0,15,0
Use Of Force,4,0,13,1
Supervisory Responsibilities,4,0,26,1
Supervisory Responsibilities,2,0,3,1
Domestic,6,1,9,0
Operation/Personnel Violations,3,0,3,4
Illegal Search,5,2,10,1
Illegal Search,5,0,5,3
Illegal Search,5,0,0,4
Operation/Personnel Violations,5,0,2,1
Operation/Personnel Violations,3,0,0,0
Use Of Force,2,0,3,0
Traffic,4,0,5,0
Use Of Force,6,0,2,0
Use Of Force,1,0,1,0
False Arrest,5,0,4,0
Use Of Force,1,0,1,2
Operation/Personnel Violations,4,1,5,0
Operation/Personnel Violations,1,0,2,0
Use Of Force,4,0,7,0
Use Of Force,1,1,1,0
Traffic,5,0,9,0
Use Of Force,4,0,4,0
Use Of Force,6,0,11,0
Operation/Personnel Violations,6,0,8,0
Use Of Force,1,0,0,1
Use Of Force,5,0,4,5
Use Of Force,3,0,1,3
Domestic,1,0,0,1
Operation/Personnel Violations,4,0,8,1
Illegal Search,6,0,3,0
Supervisory Responsibilities,3,0,3,0
Supervisory Responsibilities,1,0,2,0
Operation/Personnel Violations,3,0,3,0
Illegal Search,2,0,4,1
Traffic,4,0,7,0
Traffic,4,0,14,0
Traffic,2,0,1,0
Operation/Personnel Violations,2,0,6,2
Operation/Personnel Violations,1,0,1,0
Operation/Personnel Violations,5,0,4,0
Operation/Personnel Violations,4,0,2,0
Operation/Personnel Violations,5,2,9,0
Operation/Personnel Violations,3,0,4,1
Operation/Personnel Violations,3,1,9,0
Operation/Personnel Violations,1,0,0,0
Operation/Personnel Violations,5,0,8,1
Operation/Personnel Violations,4,0,8,0
Operation/Personnel Violations,3,1,5,2
Operation/Personnel Violations,3,1,8,1
Operation/Personnel Violations,0,0,0,0
Operation/Personnel Violations,6,2,13,1
False Arrest,5,7,34,4
Domestic,5,0,4,1
Use Of Force,4,0,7,0
Operation/Personnel Violations,3,0,7,0
Illegal Search,3,0,3,1
Illegal Search,5,1,14,2
Illegal Search,4,1,5,0
Illegal Search,4,1,8,1
Traffic,3,0,10,0
False Arrest,0,0,0,0
Illegal Search,3,1,7,1
Illegal Search,3,1,4,1
Operation/Personnel Violations,2,0,2,1
Illegal Search,5,5,31,5
Operation/Personnel Violations,3,0,4,0
Operation/Personnel Violations,3,0,1,0
Use Of Force,5,1,13,1
Use Of Force,5,0,14,0
Use Of Force,5,1,8,0
Illegal Search,5,1,16,0
Illegal Search,2,0,1,1
Operation/Personnel Violations,2,0,0,0
Illegal Search,5,0,0,0
Operation/Personnel Violations,5,0,9,4
Operation/Personnel Violations,1,0,0,0
Operation/Personnel Violations,6,0,8,0
Operation/Personnel Violations,2,0,1,3
Operation/Personnel Violations,3,0,3,0
Domestic,3,1,2,4
Illegal Search,5,2,11,0
Illegal Search,6,1,5,1
Operation/Personnel Violations,3,0,6,0
Operation/Personnel Violations,4,1,2,0
Use Of Force,5,0,2,4
Lockup Procedures,4,0,6,1
Illegal Search,3,0,6,3
Illegal Search,3,0,9,1
Illegal Search,5,2,14,2
Illegal Search,5,1,10,2
Illegal Search,4,1,19,2
Use Of Force,4,0,2,0
Illegal Search,5,0,28,1
Use Of Force,5,0,1,0
Use Of Force,0,0,0,1
Operation/Personnel Violations,5,0,22,2
Use Of Force,5,1,7,4
Use Of Force,4,2,11,2
Use Of Force,2,0,0,0
Operation/Personnel Violations,3,0,5,0
Operation/Personnel Violations,2,0,2,0
Use Of Force,3,0,3,0
Use Of Force,4,1,3,0
Illegal Search,4,0,4,0
Illegal Search,4,0,6,0
Use Of Force,3,4,10,4
Use Of Force,2,0,3,4
Use Of Force,2,0,4,0
Use Of Force,2,1,8,6
Use Of Force,4,0,3,0
Operation/Personnel Violations,3,0,1,1
Operation/Personnel Violations,2,1,1,0
Illegal Search,6,1,6,0
Illegal Search,6,0,8,0
Illegal Search,4,0,7,0
Illegal Search,3,0,2,2
Operation/Personnel Violations,3,0,0,1
Operation/Personnel Violations,2,0,1,1
Illegal Search,4,0,5,6
Operation/Personnel Violations,0,0,0,1
Illegal Search,2,1,9,4
Use Of Force,4,0,0,0
Use Of Force,5,1,6,0
Operation/Personnel Violations,5,1,14,1
Operation/Personnel Violations,2,1,2,1
Operation/Personnel Violations,2,1,4,2
Operation/Personnel Violations,3,1,5,1
Operation/Personnel Violations,5,2,12,2
Use Of Force,2,0,2,2
Operation/Personnel Violations,5,1,2,0
Use Of Force,1,0,0,0
Domestic,4,0,1,0
Domestic,4,0,2,0
Domestic,2,0,1,0
Use Of Force,3,0,2,0
Illegal Search,4,3,6,0
Illegal Search,5,2,9,0
Illegal Search,3,1,7,2
Illegal Search,3,1,10,0
Illegal Search,4,3,7,0
Operation/Personnel Violations,5,1,1,0
Use Of Force,5,2,7,0
Illegal Search,5,0,10,4
Operation/Personnel Violations,3,1,1,1
Use Of Force,6,0,4,0
Operation/Personnel Violations,5,0,5,0
Illegal Search,4,0,8,0
Illegal Search,1,0,0,0
Use Of Force,1,0,1,1
Operation/Personnel Violations,2,0,2,0
Illegal Search,3,0,3,3
Illegal Search,5,0,13,0
Use Of Force,3,0,0,0
Operation/Personnel Violations,2,0,0,2
Operation/Personnel Violations,2,1,1,2
Traffic,5,0,3,0
Use Of Force,6,1,7,4
Use Of Force,6,0,9,2
Use Of Force,3,0,2,1
Illegal Search,5,1,11,3
Use Of Force,5,1,29,0
Operation/Personnel Violations,2,0,3,2
Use Of Force,2,0,1,0
Illegal Search,3,2,3,3
Illegal Search,3,2,3,1
Illegal Search,2,0,2,2
Use Of Force,3,0,6,0
Traffic,4,0,2,0
Illegal Search,4,1,12,0
Illegal Search,3,0,1,3
Use Of Force,5,0,1,0
Lockup Procedures,3,0,1,0
Domestic,5,1,7,0
Domestic,5,0,3,0
Supervisory Responsibilities,6,0,10,0
Supervisory Responsibilities,3,0,4,0
Supervisory Responsibilities,2,0,2,0
Operation/Personnel Violations,2,0,1,0
Use Of Force,3,1,4,6
Supervisory Responsibilities,4,0,3,0
Operation/Personnel Violations,5,0,11,1
Operation/Personnel Violations,1,0,0,0
Lockup Procedures,4,0,4,0
Lockup Procedures,1,0,1,1
Operation/Personnel Violations,1,0,1,0
Supervisory Responsibilities,2,0,4,0
Supervisory Responsibilities,3,0,9,0
Traffic,3,0,2,0
Verbal Abuse,3,0,4,0
Verbal Abuse,2,0,3,0
Lockup Procedures,4,1,7,2
Illegal Search,4,1,12,0
Use Of Force,5,2,13,0
Use Of Force,2,0,0,0
Use Of Force,4,0,2,0
Illegal Search,3,0,1,0
Illegal Search,3,0,2,0
Use Of Force,4,2,7,4
Use Of Force,4,1,5,0
Illegal Search,2,0,4,2
Domestic,5,0,6,0
Use Of Force,2,0,7,0
Use Of Force,5,0,5,1
Use Of Force,3,0,2,3
Illegal Search,6,8,17,2
Illegal Search,1,0,0,0
Operation/Personnel Violations,1,1,1,0
Operation/Personnel Violations,4,1,10,3
Operation/Personnel Violations,1,0,1,0
Use Of Force,4,0,1,0
Use Of Force,4,0,4,0
Use Of Force,4,3,19,3
Operation/Personnel Violations,2,0,1,0
Use Of Force,4,3,13,4
Illegal Search,4,2,8,0
Operation/Personnel Violations,3,0,6,2
Operation/Personnel Violations,0,0,0,1
Use Of Force,3,0,1,0
Use Of Force,3,0,0,0
Use Of Force,5,0,6,0
Use Of Force,3,0,0,0
Use Of Force,2,0,0,0
Lockup Procedures,5,0,16,0
Lockup Procedures,5,0,4,0
Illegal Search,5,0,6,0
Use Of Force,4,1,11,0
False Arrest,5,0,8,1
Operation/Personnel Violations,3,0,5,2
Domestic,4,2,6,0
Use Of Force,5,0,8,2
Illegal Search,4,1,9,0
Illegal Search,5,0,3,1
Traffic,6,0,8,0
Illegal Search,0,0,0,0
Illegal Search,4,1,10,2
Illegal Search,3,2,9,3
False Arrest,6,0,3,0
Use Of Force,5,2,12,1
Operation/Personnel Violations,6,0,2,0
Operation/Personnel Violations,0,0,0,1
Lockup Procedures,0,0,1,0
Operation/Personnel Violations,2,1,4,2
Operation/Personnel Violations,0,0,0,5
Illegal Search,3,0,4,1
Illegal Search,2,0,0,0
Illegal Search,5,2,12,2
Illegal Search,5,1,9,2
Illegal Search,5,1,1,3
Illegal Search,3,2,3,7
Illegal Search,3,1,4,3
Use Of Force,2,0,1,0
Use Of Force,5,0,2,1
Use Of Force,3,0,4,2
Use Of Force,4,1,8,0
Use Of Force,5,2,15,0
Use Of Force,3,0,1,0
Use Of Force,0,0,0,0
Use Of Force,3,0,2,0
Use Of Force,3,0,5,0
Operation/Personnel Violations,2,0,2,0
Use Of Force,6,0,12,0
Operation/Personnel Violations,3,0,3,0
Operation/Personnel Violations,3,1,2,1
Use Of Force,3,0,1,0
Use Of Force,3,0,0,1
Operation/Personnel Violations,4,0,5,1
Lockup Procedures,3,0,7,1
Operation/Personnel Violations,2,1,4,1
Operation/Personnel Violations,1,0,0,2
Operation/Personnel Violations,2,0,2,0
Operation/Personnel Violations,1,0,2,0
Lockup Procedures,2,0,1,2
Lockup Procedures,2,0,0,0
Traffic,3,0,2,1
Traffic,0,0,0,1
Conduct Unbecoming (Off-Duty),4,0,4,0
False Arrest,5,1,7,1
Use Of Force,2,0,0,0
Domestic,4,1,5,0
Use Of Force,5,0,2,0
Use Of Force,2,0,1,0
Domestic,1,0,1,0
Operation/Personnel Violations,4,0,0,0
Operation/Personnel Violations,6,0,9,0
Operation/Personnel Violations,2,1,1,4
False Arrest,4,2,11,1
False Arrest,0,0,1,3
Illegal Search,3,1,2,2
Illegal Search,3,1,5,0
Illegal Search,5,1,18,0
Illegal Search,5,0,4,0
Illegal Search,4,1,2,5
Illegal Search,3,1,2,1
Verbal Abuse,3,0,3,0
Domestic,5,0,17,0
Use Of Force,1,1,3,2
False Arrest,5,0,5,4
Illegal Search,5,2,10,9
Traffic,3,0,0,0
Use Of Force,5,0,10,3
Operation/Personnel Violations,5,0,12,0
Operation/Personnel Violations,0,0,1,1
False Arrest,2,1,3,0
Operation/Personnel Violations,5,0,5,2
Operation/Personnel Violations,2,2,5,1
Use Of Force,5,0,6,2
Operation/Personnel Violations,4,0,3,0
Operation/Personnel Violations,0,0,0,1
Operation/Personnel Violations,3,1,1,0
Lockup Procedures,5,0,2,0
Lockup Procedures,1,0,0,1
Use Of Force,2,2,8,4
Use Of Force,6,1,7,1
Use Of Force,2,0,1,2
Use Of Force,6,0,6,0
Use Of Force,0,0,0,3
Lockup Procedures,2,0,2,0
Lockup Procedures,1,0,0,0
Operation/Personnel Violations,5,0,8,1
Operation/Personnel Violations,3,0,2,0
Operation/Personnel Violations,3,0,4,1
False Arrest,5,0,4,1
Illegal Search,3,1,7,0
Illegal Search,4,0,5,0
Illegal Search,2,1,3,2
Illegal Search,2,0,2,1
Use Of Force,4,0,3,1
Use Of Force,4,0,2,0
Traffic,5,0,10,1
Operation/Personnel Violations,4,0,8,0
Operation/Personnel Violations,1,0,2,0
Supervisory Responsibilities,5,0,3,0
Operation/Personnel Violations,3,1,1,0
Operation/Personnel Violations,3,0,0,2
Illegal Search,0,0,0,1
Operation/Personnel Violations,6,0,17,0
Illegal Search,2,0,3,1
Operation/Personnel Violations,3,0,5,1
Illegal Search,5,3,10,2
Operation/Personnel Violations,5,0,2,0
Operation/Personnel Violations,3,0,2,0
Operation/Personnel Violations,5,0,6,0
Operation/Personnel Violations,4,1,9,0
Operation/Personnel Violations,5,0,4,0
Supervisory Responsibilities,6,0,23,0
Traffic,3,0,1,0
Use Of Force,3,0,6,0
Operation/Personnel Violations,5,0,4,0
Operation/Personnel Violations,5,1,6,0
Domestic,5,0,19,0
Lockup Procedures,5,5,22,2
Lockup Procedures,3,1,3,2
Operation/Personnel Violations,1,0,0,2
Use Of Force,5,0,7,0
Operation/Personnel Violations,4,0,6,1
Operation/Personnel Violations,3,1,5,4
Illegal Search,4,1,6,0
Supervisory Responsibilities,2,0,3,0
Supervisory Responsibilities,1,0,2,0
Supervisory Responsibilities,3,0,2,0
Supervisory Responsibilities,2,0,0,0
Supervisory Responsibilities,2,0,1,0
Domestic,4,0,3,0
Domestic,3,0,6,0
Operation/Personnel Violations,4,0,0,0
Operation/Personnel Violations,4,1,1,0
Illegal Search,3,0,3,0
Operation/Personnel Violations,4,3,3,1
Operation/Personnel Violations,0,0,0,2
Illegal Search,5,1,11,2
Illegal Search,0,0,0,0
Use Of Force,4,0,9,0
Traffic,4,0,7,0
Traffic,4,0,3,0
Operation/Personnel Violations,3,2,8,1
Operation/Personnel Violations,5,2,4,5
Operation/Personnel Violations,0,0,0,1
Illegal Search,4,1,5,4
Operation/Personnel Violations,0,1,1,2
Use Of Force,2,0,0,1
Use Of Force,0,0,0,1
Use Of Force,2,0,5,0
Operation/Personnel Violations,5,0,11,0
Operation/Personnel Violations,5,1,11,0
Operation/Personnel Violations,5,0,3,0
Operation/Personnel Violations,3,0,8,0
Illegal Search,0,0,0,4
Use Of Force,5,2,15,0
Operation/Personnel Violations,5,2,4,1
Operation/Personnel Violations,0,0,1,0
Domestic,2,0,0,0
Illegal Search,4,2,13,2
Illegal Search,0,0,0,0
Operation/Personnel Violations,1,0,1,0
Operation/Personnel Violations,0,0,0,1
Use Of Force,3,2,6,1
Operation/Personnel Violations,5,1,6,1
Operation/Personnel Violations,1,0,0,0
Use Of Force,4,0,1,0
Use Of Force,0,0,0,1
Illegal Search,3,1,4,1
Illegal Search,4,0,8,6
False Arrest,0,0,0,2
Operation/Personnel Violations,5,0,1,1
Traffic,3,0,7,1
Supervisory Responsibilities,1,0,1,0
Supervisory Responsibilities,1,0,0,0
Illegal Search,4,2,8,0
Domestic,3,0,1,0
Operation/Personnel Violations,6,2,6,1
Operation/Personnel Violations,5,0,8,1
Operation/Personnel Violations,6,0,9,0
Use Of Force,4,0,7,0
Operation/Personnel Violations,3,1,8,0
Conduct Unbecoming (Off-Duty),3,0,1,0
Operation/Personnel Violations,1,0,0,0
Illegal Search,1,0,0,1
Operation/Personnel Violations,0,0,0,3
False Arrest,4,0,2,0
False Arrest,2,0,1,5
Operation/Personnel Violations,6,0,8,1
Operation/Personnel Violations,2,0,2,0
Use Of Force,5,0,3,0
Domestic,2,0,0,0
Operation/Personnel Violations,5,0,5,0
Operation/Personnel Violations,0,0,0,0
Lockup Procedures,5,0,5,1
Lockup Procedures,5,0,5,0
Illegal Search,5,1,4,3
Illegal Search,6,2,13,1
Operation/Personnel Violations,3,0,8,0
Operation/Personnel Violations,0,0,0,1
Use Of Force,5,0,8,0
Use Of Force,1,1,2,2
Use Of Force,1,0,5,2
Use Of Force,0,0,0,0
Operation/Personnel Violations,6,0,1,1
Use Of Force,5,0,12,0
Traffic,2,0,3,0
Use Of Force,2,1,2,4
Operation/Personnel Violations,6,3,14,0
Operation/Personnel Violations,0,0,1,1
False Arrest,4,0,1,0
False Arrest,6,0,3,0
Use Of Force,3,0,6,0
Operation/Personnel Violations,2,0,0,0
Lockup Procedures,5,6,23,1
Lockup Procedures,3,2,4,1
Operation/Personnel Violations,5,0,2,0
Operation/Personnel Violations,4,0,5,0
Operation/Personnel Violations,4,0,1,0
Operation/Personnel Violations,5,1,7,0
Illegal Search,2,2,10,3
Operation/Personnel Violations,2,0,0,7
Operation/Personnel Violations,1,0,1,4
Use Of Force,2,0,2,1
Use Of Force,1,0,0,0
Operation/Personnel Violations,5,1,10,0
Illegal Search,3,0,0,0
Use Of Force,5,1,12,0
False Arrest,5,0,11,0
False Arrest,4,0,6,0
False Arrest,5,1,23,0
Use Of Force,3,0,4,0
Illegal Search,3,0,2,2
Illegal Search,3,0,4,2
Illegal Search,5,1,9,1
Illegal Search,4,0,8,0
Operation/Personnel Violations,5,1,6,2
Operation/Personnel Violations,4,0,12,1
Operation/Personnel Violations,0,0,2,1
Illegal Search,2,0,1,1
Operation/Personnel Violations,3,0,2,0
Operation/Personnel Violations,2,0,2,0
Use Of Force,1,0,0,0
Lockup Procedures,4,0,1,0
Lockup Procedures,0,0,0,1
Illegal Search,5,3,15,1
Illegal Search,5,2,11,1
Illegal Search,0,0,0,0
Illegal Search,3,0,6,2
Operation/Personnel Violations,0,0,0,1
False Arrest,3,0,5,2
False Arrest,2,0,2,0
False Arrest,4,0,8,1
False Arrest,1,0,1,0
Use Of Force,3,0,3,0
Use Of Force,4,1,10,1
Use Of Force,5,0,5,6
Illegal Search,4,0,3,8
Illegal Search,3,1,4,10
Operation/Personnel Violations,0,1,1,0
Operation/Personnel Violations,3,0,2,1
Operation/Personnel Violations,3,0,2,0
Domestic,4,0,6,0
Use Of Force,1,0,0,0
Use Of Force,0,1,2,0
Use Of Force,0,0,0,0
Operation/Personnel Violations,0,0,0,0
Use Of Force,3,0,5,0
Use Of Force,2,0,2,1
Illegal Search,3,3,5,6
Use Of Force,5,3,11,2
Operation/Personnel Violations,2,0,2,2
Use Of Force,0,0,4,1
Supervisory Responsibilities,4,0,6,0
Supervisory Responsibilities,5,0,1,0
Supervisory Responsibilities,5,0,6,0
Supervisory Responsibilities,3,0,1,0
Use Of Force,5,3,12,0
Operation/Personnel Violations,3,0,11,0
Domestic,5,0,6,0
Domestic,1,0,1,0
Lockup Procedures,2,0,4,0
Lockup Procedures,1,0,0,0
False Arrest,2,0,2,1
Operation/Personnel Violations,4,0,8,1
Operation/Personnel Violations,2,0,4,1
Operation/Personnel Violations,3,0,2,0
Operation/Personnel Violations,4,1,2,0
Lockup Procedures,4,0,2,0
Lockup Procedures,3,0,3,0
Supervisory Responsibilities,3,0,2,0
Supervisory Responsibilities,2,1,5,0
Supervisory Responsibilities,1,0,0,0
Illegal Search,2,0,0,1
Illegal Search,2,0,0,0
Illegal Search,4,1,10,3
Illegal Search,5,1,11,1
Illegal Search,4,1,9,2
Illegal Search,5,1,4,3
Illegal Search,5,1,6,3
Illegal Search,5,0,14,0
Illegal Search,3,1,9,2
Lockup Procedures,2,0,2,0
Illegal Search,3,0,5,1
Operation/Personnel Violations,5,0,5,0
Operation/Personnel Violations,5,1,6,0
Operation/Personnel Violations,2,0,4,1
Domestic,2,0,3,1
Use Of Force,1,0,2,0
Use Of Force,1,0,0,0
Operation/Personnel Violations,6,0,3,0
Use Of Force,4,0,2,1
Use Of Force,4,0,4,0
Traffic,4,0,9,0
Illegal Search,3,4,6,5
Illegal Search,3,2,6,2
Illegal Search,3,2,9,8
Use Of Force,4,0,0,0
Use Of Force,4,0,10,0
Use Of Force,3,0,6,0
Traffic,3,0,6,0
Illegal Search,5,3,9,0
Illegal Search,3,3,10,7
Operation/Personnel Violations,0,0,0,0
Operation/Personnel Violations,3,0,6,2
Illegal Search,6,2,17,4
Domestic,2,0,0,0
Illegal Search,1,0,0,1
Use Of Force,0,0,0,1
Operation/Personnel Violations,3,0,0,1
Operation/Personnel Violations,4,0,2,1
Illegal Search,4,0,5,0
Illegal Search,4,1,5,0
Illegal Search,4,0,3,0
Operation/Personnel Violations,3,0,0,0
Operation/Personnel Violations,2,0,0,1
Illegal Search,6,0,9,1
Illegal Search,6,0,0,0
